Open,High,Low,Close,Adj Close,Volume,Year,Month,Day
38.380001,38.849998,38.150002,38.32,38.32,46116900,2013,Aug,243
38.369999,38.75,38.34,38.549999,38.549999,21931200,2013,Aug,244
39,40.630001,38.93,40.549999,40.549999,86442300,2013,Aug,245
40.900002,41.939999,40.619999,41.34,41.34,94162400,2013,Aug,246
40.68,41.200001,39.419998,39.639999,39.639999,72695100,2013,Aug,247
39.959999,40.849998,39.880001,40.549999,40.549999,57918200,2013,Aug,248
40.889999,41.779999,40.799999,41.279999,41.279999,58303400,2013,Aug,249
42.02,42.259998,41.060001,41.290001,41.290001,67735100,2013,Aug,250
41.84,42.16,41.509998,41.869999,41.869999,48774900,2013,Sep,251
42.009998,42.169998,41.439999,41.779999,41.779999,42581900,2013,Sep,252
41.790001,42.77,41.77,42.66,42.66,50035400,2013,Sep,253
43.09,44.610001,42.400002,43.950001,43.950001,117535700,2013,Sep,254
44.360001,44.790001,43.700001,44.040001,44.040001,75794700,2013,Sep,255
44.240002,44.259998,43.23,43.599998,43.599998,54540300,2013,Sep,256
43.389999,45.09,43.110001,45.040001,45.040001,72328300,2013,Sep,257
45.529999,45.619999,44.650002,44.75,44.75,68072300,2013,Sep,258
45.040001,45.080002,43.93,44.310001,44.310001,52765300,2013,Sep,259
44.849998,44.939999,42.43,42.509998,42.509998,70424200,2013,Sep,260
42.5,45.439999,42.43,45.07,45.07,91934600,2013,Sep,261
44.84,45.470001,44.400002,45.23,45.23,79317000,2013,Sep,262
45.509998,46.049999,45.23,45.98,45.98,63972400,2013,Sep,263
46.32,47.599998,45.740002,47.490002,47.490002,115508400,2013,Sep,264
47.279999,47.549999,46.290001,47.189999,47.189999,75177000,2013,Sep,265
48.509998,49.66,48.16,48.450001,48.450001,136716100,2013,Sep,266
49.23,49.540001,48.459999,49.459999,49.459999,87879700,2013,Sep,267
50.009998,50.599998,49.5,50.389999,50.389999,98220100,2013,Sep,268
50.290001,51.279999,49.860001,51.240002,51.240002,81410500,2013,Sep,269
50.139999,51.599998,49.799999,50.23,50.23,100095000,2013,Sep,270
49.970001,51.029999,49.450001,50.419998,50.419998,98114000,2013,Oct,271
50.130001,51.099998,49.950001,50.279999,50.279999,62834000,2013,Oct,272
50.470001,50.720001,49.060001,49.18,49.18,82045000,2013,Oct,273
49.77,51.16,49.57,51.040001,51.040001,74447000,2013,Oct,274
50.73,51.290001,50.400002,50.52,50.52,57204000,2013,Oct,275
50.599998,50.599998,47.080002,47.139999,47.139999,136081000,2013,Oct,276
47.380001,47.84,45.259998,46.77,46.77,147297000,2013,Oct,277
47.869999,49.68,47.830002,49.049999,49.049999,99774000,2013,Oct,278
49.18,49.869999,48.790001,49.110001,49.110001,58428000,2013,Oct,279
48.310001,49.630001,47.91,49.509998,49.509998,68781000,2013,Oct,280
49.990002,51,49.18,49.5,49.5,81167000,2013,Oct,281
